dataset,model,hook,extractor,feature_id,auroc,auroc_p,q_value,n_samples
rfd3_safeprotein,rfd3,block6,sae_encode,281,0.4388429752066116,0.007129829376935959,0.08444784375439797,44
rfd3_safeprotein,rfd3,block6,sae_encode,392,0.4413223140495868,0.09494911879301071,0.3105627427188059,193
rfd3_safeprotein,rfd3,block6,sae_encode,171,0.44242424242424244,0.0014487406006082892,0.025272474921722375,26
rfd3_safeprotein,rfd3,block6,sae_encode,471,0.44297520661157025,0.014628611505031586,0.12759400034944215,47
rfd3_safeprotein,rfd3,block6,sae_encode,158,0.5552617079889807,0.03939453512430191,0.17671262898615428,67
rfd3_safeprotein,rfd3,block8,identity,223,0.7294765840220385,1.1517437004116005e-10,8.845391619161092e-08,273
rfd3_safeprotein,rfd3,block8,identity,247,0.7209917355371901,5.393414048704415e-10,2.0710709947024952e-07,6
rfd3_safeprotein,rfd3,block8,identity,495,0.7165289256198347,1.1881036154903768e-09,3.0415452556553646e-07,260
rfd3_safeprotein,rfd3,block8,identity,251,0.7039669421487603,1.0105018155570633e-08,1.9401634858695616e-06,87
rfd3_safeprotein,rfd3,block8,identity,678,0.3060055096418733,5.070628716907777e-08,7.393320629489608e-06,244
rfd3_safeprotein,rfd3,block8,identity,764,0.306831955922865,5.7760317417887563e-08,7.393320629489608e-06,256
rfd3_safeprotein,rfd3,block8,identity,434,0.3097520661157025,9.113397680948765e-08,9.45936941813367e-06,183
rfd3_safeprotein,rfd3,block8,identity,221,0.6894765840220386,1.0268827566051186e-07,9.45936941813367e-06,240
rfd3_safeprotein,rfd3,block8,identity,432,0.31101928374655646,1.1085198536875396e-07,9.45936941813367e-06,3
rfd3_safeprotein,rfd3,block8,identity,423,0.3125068870523416,1.3928988096267858e-07,1.0697462857933714e-05,217
rfd3_safeprotein,rfd3,block8,identity,500,0.31393939393939396,1.7327144519185822e-07,1.2097497264304282e-05,3
rfd3_safeprotein,rfd3,block8,identity,709,0.6853994490358126,1.9153760888457327e-07,1.225840696861269e-05,189
rfd3_safeprotein,rfd3,block8,identity,322,0.6841873278236914,2.299726418186765e-07,1.3003579806536437e-05,84
rfd3_safeprotein,rfd3,block8,identity,622,0.6835261707988981,2.5397616809641477e-07,1.3003579806536437e-05,251
rfd3_safeprotein,rfd3,block8,identity,493,0.31647382920110195,2.5397616809641477e-07,1.3003579806536437e-05,216
rfd3_safeprotein,rfd3,block8,identity,92,0.31757575757575757,2.9945331903036276e-07,1.4373759313457413e-05,17
rfd3_safeprotein,rfd3,block8,identity,313,0.6819834710743802,3.197653484221519e-07,1.4445869858130157e-05,101
rfd3_safeprotein,rfd3,block8,identity,574,0.3210468319559229,5.000783289688115e-07,2.1336675369335957e-05,266
rfd3_safeprotein,rfd3,block8,identity,627,0.3218732782369146,5.642531277771923e-07,2.2807705375414928e-05,7
rfd3_safeprotein,rfd3,block8,identity,323,0.3234159779614325,7.059117024255102e-07,2.710700937313959e-05,1
rfd3_safeprotein,rfd3,block8,sae_encode,654,0.33267217630853996,1.3786070951482543e-08,9.635681053055123e-07,88
rfd3_safeprotein,rfd3,block8,sae_encode,307,0.6658402203856749,3.0676817459607264e-06,0.00012270726983842906,233
rfd3_safeprotein,rfd3,block8,sae_encode,141,0.36581267217630853,1.6059468421758538e-08,9.635681053055123e-07,49
rfd3_safeprotein,rfd3,block8,sae_encode,297,0.3822589531680441,0.0004963946994394064,0.009762212035379239,148
rfd3_safeprotein,rfd3,block8,sae_encode,270,0.4066115702479339,0.0008750838460400701,0.01312625769060105,76
rfd3_safeprotein,rfd3,block8,sae_encode,429,0.4087052341597796,3.505429413053207e-05,0.0010516288239159621,41
rfd3_safeprotein,rfd3,block8,sae_encode,298,0.41358126721763083,6.315525388345122e-05,0.0015157260932028294,39
rfd3_safeprotein,rfd3,block8,sae_encode,351,0.5853994490358126,0.0013656201772391796,0.016387442126870155,66
rfd3_safeprotein,rfd3,block8,sae_encode,102,0.41763085399449035,0.0034806192852556705,0.027844954282045364,77
rfd3_safeprotein,rfd3,block8,sae_encode,601,0.4220936639118457,0.011109558865427971,0.06665735319256783,100
rfd3_safeprotein,rfd3,block8,sae_encode,460,0.4225895316804408,0.0012280797818675637,0.016374397091567516,50
rfd3_safeprotein,rfd3,block8,sae_encode,624,0.5692561983471074,0.0005694623687304556,0.009762212035379239,33
rfd3_safeprotein,rfd3,block8,sae_encode,721,0.43245179063360883,0.0015686287079006433,0.017112313177097927,38
rfd3_safeprotein,rfd3,block8,sae_encode,376,0.43421487603305786,0.056219395250082016,0.16865818575024605,165
rfd3_safeprotein,rfd3,block8,sae_encode,212,0.4379889807162534,0.059903334826231,0.17115238521780288,131
rfd3_safeprotein,rfd3,block8,sae_encode,525,0.43862258953168043,0.005411185324192047,0.04058388993144035,41
rfd3_safeprotein,rfd3,block8,sae_encode,189,0.44303030303030305,0.035643115639686584,0.12220496790749685,69
rfd3_safeprotein,rfd3,block8,sae_encode,626,0.4450137741046832,0.013641119003295898,0.0696244090795517,42
rfd3_safeprotein,rfd3,block8,sae_encode,614,0.4467768595041322,0.053261008113622665,0.16388002496499282,72
rfd3_safeprotein,rfd3,block8,sae_encode,315,0.44754820936639117,0.006503559183329344,0.04202669780505331,30
